id,Director
8224,Joel Schumacher
210577,David Fincher
96,Tony Scott
1852,Oliver Stone
1832,Kevin Smith
2255,Kevin Smith
544,Bobby Farrelly
10358,Kevin Smith
48988,Bobby Farrelly
1262,Marc Forster
8699,Adam McKay
12133,Adam McKay
9718,Adam McKay
27581,Adam McKay
109443,Adam McKay
225574,Jaume Collet-Serra
1581,Nancy Meyers
48138,Jaume Collet-Serra
920,John Lasseter
1701,Simon West
707,John Glen
699,John Glen
700,John Glen
195589,Nicholas Stoller
49013,John Lasseter
209112,Zack Snyder
4327,McG
325133,Nicholas Stoller
9327,Tom Shadyac
9471,McG
10024,Nick Cassavetes
1621,John Landis
9620,John Woo
192141,John Erick Dowdle
2059,Jon Turteltaub
10719,Jon Favreau
253,Guy Hamilton
1893,George Lucas
682,Guy Hamilton
193610,Nick Cassavetes
10708,Steve Carr
306,John Landis
10756,Rob Minkoff
10808,Steve Carr
2757,Spike Jonze
14306,David Frankel
71676,Mark Neveldine
260346,Olivier Megaton
82675,Olivier Megaton
10184,Ken Kwapis
691,Lewis Gilbert
39513,Greg Mottola
698,Lewis Gilbert
75174,Joe Carnahan
4964,Judd Apatow
15512,Rob Letterman
8007,John Moore
13811,Alex Proyas
76494,Kirk Jones
40805,Michel Gondry
82695,NA
9488,NA
13223,Clint Eastwood
70,Clint Eastwood
33,Clint Eastwood
11901,Clint Eastwood
5551,Clint Eastwood
10724,Clint Eastwood
39254,Shawn Levy
65754,David Fincher
37799,David Fincher
1124,Christopher Nolan
10022,Adam Shankman
7451,Rob Cohen
36668,Brett Ratner
10634,F. Gary Gray
8068,Robert Rodriguez
1428,Robert Rodriguez
10764,Marc Forster
13680,Andy Fickman
184315,Brett Ratner
13836,Andy Fickman
12279,Robert Rodriguez
168259,James Wan
127585,Bryan Singer
36557,Martin Campbell
291805,Jon M. Chu
1656,Martin Campbell
37724,Sam Mendes
206647,Sam Mendes
76170,James Mangold
9342,Martin Campbell
1266,David Ayer
817,Jay Roach
10611,Tim Story
168530,Tim Story
816,Jay Roach
818,Jay Roach
72559,Jon M. Chu
604,Lana Wachowski
75656,Louis Leterrier
808,Andrew Adamson
603,Lana Wachowski
4836,Matthew Vaughn
809,Andrew Adamson
46195,Carlos Saldanha
605,Lana Wachowski
10471,Steve Carr
172385,Carlos Saldanha
10192,Mike Mitchell
9334,Chuck Russell
11637,Brian Levant
10200,Scott Derrickson
51497,Justin Lin
1637,Jan de Bont
2787,David Twohy
16614,Greg Mottola
302699,Rawson Marshall Thurber
87421,David Twohy
21301,Kevin Rodney Sullivan
671,NA
3580,Clint Eastwood
703,Woody Allen
268,Tim Burton
11561,Woody Allen
11302,Woody Allen
11624,Woody Allen
462,Steven Soderbergh
1645,Joel Schumacher
1858,Michael Bay
38356,Michael Bay
8373,Michael Bay
157336,Christopher Nolan
820,Oliver Stone
9563,Oliver Stone
320,Christopher Nolan
240,Francis Ford Coppola
71679,Paul W.S. Anderson
35791,Paul W.S. Anderson
242,Francis Ford Coppola
1576,Paul W.S. Anderson
42807,Richard Linklater
11228,Rob Cohen
52451,Paul W.S. Anderson
2018,Adam Shankman
241251,Rob Cohen
694,Stanley Kubrick
672,Chris Columbus
307081,Antoine Fuqua
7350,Rob Reiner
243,Stephen Frears
114,Garry Marshall
43347,Edward Zwick
787,Doug Liman
27576,Phillip Noyce
41733,Todd Phillips
4806,Garry Marshall
111,Brian De Palma
14161,Roland Emmerich
117,Brian De Palma
77016,David Ayer
2832,James Mangold
710,Martin Campbell
913,John McTiernan
2142,James Mangold
192102,McG
6964,Nancy Meyers
76163,Simon West
8916,Eric Darnell
1995,Simon West
1726,Jon Favreau
10528,Guy Ritchie
9986,Gary Winick
58574,Guy Ritchie
9350,Renny Harlin
107846,Mikael HÌÎå«fstrÌÎå_m
10138,Jon Favreau
8367,Kevin Reynolds
3021,Mikael HÌÎå«fstrÌÎå_m
254904,Roger Donaldson
9804,Kevin Reynolds
9619,Roger Donaldson
4379,Robert Luketic
8676,Andy Tennant
674,Mike Newell
767,David Yates
675,David Yates
492,Spike Jonze
3536,Jonathan Mostow
2755,Alexander Payne
8271,D.J. Caruso
8843,Tarsem Singh
45612,Duncan Jones
13027,D.J. Caruso
9543,Mike Newell
12403,David Twohy
36643,Michael Apted
7303,Wayne Wang
1996,Jan de Bont
62764,Tarsem Singh
9454,NA
7942,NA
41439,NA
208134,NA
4380,NA
10014,NA
190859,Clint Eastwood
105,Robert Zemeckis
165,Robert Zemeckis
196,Robert Zemeckis
98,Ridley Scott
20662,Ridley Scott
587,Tim Burton
9833,Joel Schumacher
453,Ron Howard
273248,Quentin Tarantino
80,Richard Linklater
120,Peter Jackson
122,Peter Jackson
121,Peter Jackson
479,John Singleton
11431,Bobby Farrelly
92591,Richard Linklater
1584,Richard Linklater
132344,Richard Linklater
76,Richard Linklater
28178,Lasse HallstrÌÎå_m
380,Barry Levinson
44264,Ethan Coen
4232,Wes Craven
586,Barry Levinson
18785,Todd Phillips
227156,Phillip Noyce
45243,Todd Phillips
117263,Antoine Fuqua
26390,Antoine Fuqua
41446,Wes Craven
4233,Wes Craven
4234,Wes Craven
131634,Francis Lawrence
101299,Francis Lawrence
138843,James Wan
9836,George Miller
1271,Zack Snyder
82693,David O. Russell
49018,James Wan
259693,James Wan
131631,Francis Lawrence
9007,Mark Waters
274479,David O. Russell
59962,McG
86834,Darren Aronofsky
10160,Stephen Hopkins
14405,Raja Gosnell
627,Danny Boyle
10137,Rob Minkoff
177,Terry Gilliam
1895,George Lucas
9576,Sydney Pollack
232672,Frank Coraci
10072,Chuck Russell
1894,George Lucas
6950,Wolfgang Petersen
8835,Robert Luketic
11529,Andy Tennant
10131,Renny Harlin
27573,Andy Tennant
326,David R. Ellis
115,Joel Coen
747,Edgar Wright
4638,Edgar Wright
257445,Rob Letterman
2652,David Slade
7214,Thomas Carter
107985,Edgar Wright
82507,Scott Derrickson
16290,Jeff Tremaine
12094,Jeff Tremaine
2251,Adrian Lyne
215,Darren Lynn Bousman
214,Darren Lynn Bousman
9012,Jeff Tremaine
663,Darren Lynn Bousman
38745,Rob Letterman
1892,NA
72197,NA
35019,NA
612,Steven Spielberg
11831,Steven Spielberg
322,Clint Eastwood
22954,Clint Eastwood
686,Robert Zemeckis
11873,Martin Scorsese
77930,Steven Soderbergh
4547,David Fincher
11007,Shawn Levy
9799,Rob Cohen
592,Francis Ford Coppola
8840,Rob Cohen
5780,Alfred Hitchcock
584,John Singleton
9641,Adam Shankman
10678,Adam Shankman
6977,Ethan Coen
597,James Cameron
19995,James Cameron
557,Sam Raimi
558,Sam Raimi
9880,Garry Marshall
228194,Lasse HallstrÌÎå_m
11130,Garry Marshall
1165,Stephen Frears
559,Sam Raimi
256961,Andy Fickman
76341,George Miller
137,Harold Ramis
607,Barry Sonnenfeld
957,Mel Brooks
10156,Mel Brooks
10890,Ivan Reitman
12535,Mel Brooks
435,Roland Emmerich
608,Barry Sonnenfeld
32823,Nicholas Stoller
13475,J.J. Abrams
54138,J.J. Abrams
9428,Wes Anderson
11697,John Ford
1779,Michael Moore
179,Sydney Pollack
11362,Kevin Reynolds
2359,Michael Moore
1430,Michael Moore
4584,Ang Lee
13909,John Ford
187017,Phil Lord
9759,David R. Ellis
64688,Phil Lord
24420,Robert Schwentke
276907,Brian Helgeland
8355,Carlos Saldanha
950,Carlos Saldanha
48289,John Madden
9315,Robert Schwentke
15875,John Ford
10521,Gary Winick
18823,Louis Leterrier
9767,Peyton Reed
1927,Ang Lee
38317,Frank Coraci
14560,Steve Carr
